Rank,Name,Net Worth (B),Change,Age,Country,Source,Industry
83,Autry Stephens,24.3,up arrow,86,United States,Oil,Energy
84,Eyal Ofer,24,up arrow,73,Israel,Real estate, shipping,Diversified
85,Vladimir Potanin,23.7,unchanged,63,Russia,Metals,Metals & Mining
86,Gennady Timchenko,23.4,up arrow,71,Russia,Oil, gas,Energy
87,Takemitsu Takizaki,23.1,up arrow,78,Japan,Sensors,Manufacturing
88,Vinod Adani,23,up arrow,75,Cyprus,Infrastructure, commodities,Diversified
89,Robin Zeng,22.9,down arrow,55,Hong Kong,Batteries,Automotive
90,Cyrus Poonawalla,21.3,down arrow,82,India,Vaccines,Healthcare
91,Andrey Melnichenko & family,21.1,down arrow,52,Russia,Fertilizers, coal,Metals & Mining
92,Diane Hendricks,20.9,up arrow,77,United States,Building supplies,Construction & Engineering
92,Kushal Pal Singh,20.9,up arrow,92,India,Real estate,Real Estate
94,Vicky Safra & family,20.6,up arrow,71,Brazil,Banking,Finance & Investments
94,Eric Schmidt,20.6,up arrow,68,United States,Google,Technology
94,David Tepper,20.6,up arrow,66,United States,Hedge funds,Finance & Investments
97,Steve Cohen,19.8,up arrow,67,United States,Hedge funds,Finance & Investments
98,Kumar Birla,19.7,up arrow,56,India,Diversified,Diversified
99,Rick Cohen & family,19.6,up arrow,71,United States,Warehouse automation,Technology
100,Rupert Murdoch & family,19.5,up arrow,93,United States,Newspapers, TV network,Media & Entertainment
101,Andrew Forrest & family,19,down arrow,62,Australia,Mining,Metals & Mining
102,Harold Hamm & family,18.5,unchanged,78,United States,Oil & gas,Energy
103,Dustin Moskovitz,18.3,up arrow,39,United States,Facebook,Technology
104,Donald Bren,18,up arrow,91,United States,Real estate,Real Estate
104,Renata Kellnerova & family,18,up arrow,56,Czech Republic,Finance, telecommunications,Finance & Investments
